title_de_CH,date,shortcode,domain,status,type,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,,,0,True,1104,1537,0,19,6019
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Altstätten,3251,True,1082,2183,0,10,6848
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Au (SG),3231,True,562,1332,0,4,3810
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Balgach,3232,True,390,1126,0,6,2816
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Berneck,3233,True,408,996,0,5,2536
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Diepoldsau,3234,True,531,1255,0,14,3639
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Eichberg,3252,True,148,347,0,2,972
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Marbach (SG),3253,True,240,478,0,2,1339
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Oberriet (SG),3254,True,888,2072,0,12,5708
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Rebstein,3255,True,377,884,2,10,2470
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Rheineck,3235,True,272,659,0,3,1781
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Rüthi (SG),3256,True,229,479,0,2,1372
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,St. Margrethen,3236,True,377,911,1,11,2601
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rheintal,Widnau,3238,True,755,1837,0,7,5211
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Berg (SG),3211,True,111,256,0,1,612
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Goldach,3213,True,913,2224,0,12,5897
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Mörschwil,3214,True,378,1279,0,9,2559
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Rorschach,3215,True,702,1149,2,13,4135
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Rorschacherberg,3216,True,728,1596,0,9,4263
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Steinach,3217,True,323,789,0,6,2183
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Thal,3237,True,645,1538,0,11,4018
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Tübach,3218,True,135,387,0,6,894
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Rorschach,Untereggen,3219,True,124,262,0,2,725
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Bad Ragaz,3291,True,510,1271,0,7,3430
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Flums,3292,True,512,944,0,12,3062
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Mels,3293,True,991,1919,0,15,5736
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Pfäfers,3294,True,191,356,1,4,1074
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Quarten,3295,True,342,689,0,2,1941
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Sargans,3296,True,715,1233,0,14,3764
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Vilters-Wangs,3297,True,572,1081,0,6,3067
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Sarganserland,Walenstadt,3298,True,630,1298,0,10,3540
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Amden,3311,True,223,459,0,9,1327
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Benken (SG),3312,True,298,666,0,4,1914
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Eschenbach (SG),3342,True,894,2167,0,13,5970
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Gommiswald,3341,True,517,1230,0,8,3508
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Kaltbrunn,3313,True,426,942,1,10,2893
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Rapperswil-Jona,3340,True,2934,6926,0,55,17928
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Schänis,3315,True,429,809,1,5,2616
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Schmerikon,3338,True,338,764,0,7,2168
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Uznach,3339,True,569,1309,0,8,3642
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,See-Gaster,Weesen,3316,True,188,424,0,2,1098
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Andwil (SG),3441,True,161,571,0,3,1340
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Eggersriet,3212,True,264,676,0,4,1612
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Gaiserwald,3442,True,818,2352,0,20,5582
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Gossau (SG),3443,True,1716,4695,1,40,12015
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Häggenschwil,3201,True,128,357,0,0,846
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Muolen,3202,True,125,313,0,1,830
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,St. Gallen,3203,True,8578,14205,1,256,45154
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Waldkirch,3444,True,363,980,0,6,2368
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,St. Gallen,Wittenbach,3204,True,908,2172,0,22,6089
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Bütschwil-Ganterschwil,3395,True,429,1106,0,8,3135
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Ebnat-Kappel,3352,True,646,1238,0,11,3441
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Hemberg,3372,True,115,217,0,3,663
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Kirchberg (SG),3392,True,722,1831,0,19,4930
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Lichtensteig,3374,True,214,445,0,3,1309
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Lütisburg,3393,True,156,354,0,5,990
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Mosnang,3394,True,254,662,0,3,2058
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Neckertal,3378,True,511,1017,0,12,2940
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Nesslau,3360,True,444,911,0,6,2672
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Oberhelfenschwil,3375,True,168,316,0,2,943
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Wattwil,3379,True,876,1802,0,20,5342
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Toggenburg,Wildhaus-Alt St. Johann,3359,True,320,640,0,9,1838
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Buchs (SG),3271,True,1235,1951,0,10,6475
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Gams,3272,True,379,660,0,5,2010
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Grabs,3273,True,921,1510,0,12,4542
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Sennwald,3274,True,533,954,0,11,3033
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Sevelen,3275,True,428,842,0,11,2516
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Werdenberg,Wartau,3276,True,556,971,0,12,3011
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Degersheim,3401,True,426,909,0,4,2515
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Flawil,3402,True,916,2029,0,18,5911
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Jonschwil,3405,True,349,985,0,10,2534
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Niederbüren,3422,True,120,393,0,4,1017
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Niederhelfenschwil,3423,True,270,808,0,10,2038
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Oberbüren,3424,True,407,1180,0,7,2912
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Oberuzwil,3407,True,636,1489,1,11,4040
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Uzwil,3408,True,1122,2565,0,23,7446
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Wil (SG),3427,True,2311,5421,1,46,14215
Volksinitiative «1:12 – Für gerechte Löhne»,2013-11-24,1,federation,unknown,proposal,Wil,Zuzwil (SG),3426,True,439,1423,0,6,3315
